제목,날짜,분류,본문,반응수
"'최강' 한국 여자양궁, 세계선수권 단체전서 충격의 16강 탈락",20230802,스포츠,"두 대회 연속 리커브 전 종목 석권 무산…혼성전은 은메달 확보여자대표팀 맏언니 강채영[대한양궁협회 제공. 재판매 및 DB 금지]  '세계 최강' 한국 여자 리커브 양궁 대표팀이 2023 베를린 세계양궁선수권대회 첫판에서 충격의 탈락을 당했다.    임시현(한국체대), 안산(광주여대), 강채영(현대모비스)으로 이뤄진 한국은 2일 독일 베를린에서 열린 대회 3일째 여자 단체전 16강전에서 인도네시아에 세트점수 3-5(54-55 59-52 51-53 56-56)로 패해 입상에 실패했다.    이로써 리커브 대표팀이 목표로 삼았던 두 대회 연속 '전 종목 석권'은 물거품이 됐다.    혼성전이 더해지면서 리커브와 컴파운드 각각 금메달이 5개로 늘어난 2011년 토리노 대회 이후 한 나라가 리커브 전 종목을 석권한 것은 직전에 열린 2021년 양크턴 대회의 한국이 처음이었다.    전날 예선에서 좋은 성적을 낸 한국은 1회전인 24강전을 거르고 곧바로 16강부터 경쟁했는데, 첫판부터 허무하게 지고 말았다.     인도네시아 여자 대표팀은 올해부터 한국인 박영걸 감독이 이끌고 있다.김우진[AFP=연합뉴스]    리커브 대표팀은 이날 진행된 다른 종목에서는 순항했다.    김우진(청주시청)과 임시현이 나선 혼성전에서 은메달을 확보했다.    김우진-임시현은 이날 16강에서 우크라이나, 8강에서 카자흐스탄을 연파한 뒤 준결승에서 마우로 네스폴리, 타티아나 안드레올리로 팀을 꾸린 이탈리아를 6-0(37-36 38-35 38-33)으로 물리치고 결승에 올랐다.    김우진-임시현은 대만의 당즈준-레이젠잉을 슛오프 접전 끝에 5-4(38-35 36-38 33-37 38-37 <+18-18>)로 꺾고 결승에 오른 독일의 플로리안 운루-미셸 크로펜과 금메달을 놓고 격돌한다.    여자 단체전 탈락으로 분위기가 확 가라앉을 수 있었지만 31세로 이번 대회 리커브 대표팀에서 가장 나이가 많은 김우진과 여자 선수 중 가장 어린 임시현이 반전의 신호탄을 잘 쐈다.    한국은 김우진, 이우석(코오롱), 김제덕(예천군청)이 나선 남자 단체전에서도 순항하며 준결승에 안착했다.    남자 대표팀은 16강에서 브라질을 물리친 뒤 8강에서 인도를 5-1(55-49 57-57 55-53)로 제압해 준결승에 올랐다.    한국은 이탈리아와 남자 단체전 결승 진출을 다툰다.     ahs@yna.co.kr 기사제공 연합뉴스 안홍석",106
"[속보] 소방당국 ""새만금 잼버리 개영식서 50명 탈진…중상 2명""",20230802,사회,개영식 앞둔 잼버리 야영장 2023 새만금 세계스카우트잼버리 개영식이 열리는 2일 전북 부안군 하서면 야영장에 참가자들이 머물 텐트가 설치돼 있다. 2023.8.2 [부안군 제공. 재판매 및 DB금지],34
"尹 ""연대하면 인류 위기 대응""…새만금 잼버리서 '바닥 응원'(종합)",20230802,정치,"단복 입고 휴가 첫날 개영식…""어린 시절 스카우트 경험이 인생에 큰 힘""    윤 대통령,  새만금 제25회 세계스카우트잼버리 개영식 참석     한지훈  윤석열 대통령은 여름휴가 첫날인 2일 저녁 전북 부안에서 열린 '2023 새만금 제25회 세계스카우트 잼버리' 개영식에 참석했다.    개영식은 잼버리 대회에 참석한 전세계 158개국 4만3천여 명 스카우트 대원들의 공식 야영 시작을 알리는 행사다.    스카우트 단복을 입은 윤 대통령과 부인 김건희 여사는 스카우트 행사에서 최고의 예우를 표현하는 '장문례'를 거쳐 식장에 입장했다.    윤 대통령은 초등학생 시절 4년 동안 스카우트 대원으로 활동한 경험이 있다. 지난 3월에는 한국스카우트연맹 명예총재로 추대됐다.    윤 대통령은 환영사에서 ""선배 스카우트로서 새만금에서 여러분을 만나게 돼 기쁘게 생각한다""며 ""여러분을 보니 제 스카우트 시절이 생생하게 떠오른다""고 했다.    이어 ""야외 활동의 설렘, 다른 학교 스카우트와의 만남과 연합 캠핑 등은 아직도 제게 특별한 추억으로 남아있다""며 ""어린 시절의 스카우트 경험이 인생을 살아가는 데 큰 힘이 됐다""고 언급했다.    윤 대통령은 ""스카우트 활동을 통해 길러진 독립심과 책임감, 이웃에 대한 봉사 정신, 국가에 대한 헌신의 자세는 여러분을 훌륭한 리더로 성장시킬 것""이라며 ""여러분이 힘을 모아 연대할 때 지역사회와 국가는 물론, 국제사회에서 어려운 나라와 사람을 돕고 인류가 당면한 위기와 도전에 대응할 수 있을 것""이라고 강조했다.    아울러 ""무더운 날씨에도 불구하고 현장에서 구슬땀을 흘리는 자원봉사자 여러분과 의료진 여러분에게 깊이 감사드린다""고 말했다.    손 흔들며 입장하는 윤석열 대통령 내외  윤석열 대통령과 김건희 여사가 2일 오후 전북 부안 새만금 부지에서 열린 '2023 새만금 제25회 세계스카우트잼버리' 개영식에서 스카우트 최고의 예우를 표하는 장문례를 받으며 입장하고 있다. 2023.8.2 [대통령실통신사진기자단] kane@yna.co.kr    윤 대통령 부부는 참가국 기수단 입장을 바닥에 앉아서 지켜봤다. 대한민국 기수가 입장할 때는 웃으며 박수를 보냈다.    개영식 말미에는 참석자들과 함께 각자의 꿈을 담는다는 의미로 종이비행기를 날리는 퍼포먼스를 했다. 구호는 'Draw your dreams'(너의 꿈을 그려라)이었다.    윤 대통령 부부는 행사장을 떠나며 스카우트 대원들과 악수하고 '셀카'를 찍기도 했다고 이 대변인은 전했다.    개영식에 참석한 밥 포펑 다데이 파푸아뉴기니 독립국 총독 등과 악수하기도 했다.    한편, 윤 대통령은 코로나19 이후 첫 대규모 국제 청소년 행사인 이번 잼버리의 성공적 개최를 위해 관계 기관에 시설 안전 대책을 철저히 점검하고 조치하라고 지시했다고 대통령실이 보도자료를 통해 전했다.    이날 개영식에는 박보균 문화체육관광부 장관, 김현숙 여성가족부 장관, 반기문 명예조직위원장, 강태선 한국스카우트연맹 총재, 김관영 전북도지사, 국민의힘 박대출·이용호 의원, 더불어민주당 김윤덕·장경태 의원 등이 참석했다.    영국 출신의 유명 생존 전문가인 베어 그릴스(본명 에드워드 마이클 그릴스)도 무대 위에 올라 퍼포먼스를 했다.    이번 잼버리는 오는 12일까지 전북 부안 새만금 부지에서 열린다. 지난 1991년 강원 고성에서 열린 제17회 세계잼버리에 이어 국내에서 개최된 두 번째 행사다.    환영사 마치고 인사하는 윤석열 대통령  윤석열 대통령이 2일 오후 전북 부안 새만금 부지에서 열린 '2023 새만금 제25회 세계스카우트잼버리' 개영식에서 환영사를 마친 뒤 인사하고 있다. 2023.8.2 [대통령실통신사진기자단] kane@yna.co.kr",6
"새만금 세계잼버리 개영식서 참가자 집단 탈진…""온열질환 추정""",20230802,사회,"빼곡히 앉은 스카우트 대원들 2023 새만금 세계스카우트 잼버리 개영식이 열린 2일 전북 부안군 새만금 야영지에 스카우트 대원들이 앉아 있다. 2023.8.2 [전북소방본부 제공. 재판매 및 DB 금지]     김진방  2023 새만금 세계스카우트 잼버리 개영식에서 참가자 여럿이 쓰러져 병원으로 옮겨졌다.    2일 전북경찰청과 전북소방본부에 따르면 이날 오후 개영식이 끝나고 스카우트 대원 등 십수 명이 어지럼증을 호소하며 쓰러졌다.    현장에 대기하던 경찰관과 119구급대원은 환자를 병원으로 이송하고 있다고 전했다.    현재까지 정확한 환자 수는 집계되지 않은 것으로 파악됐다.    전북경찰청 관계자는 ""온열질환으로 여럿이 탈진한 것으로 보인다""며 ""현재 환자 이송이 진행 중이어서 구체적 내용은 확인되지 않았다""고 말했다.",3
"트럼프, '대선뒤집기' 기소 다음날 ""이런 지지는 처음"" 감사인사",20230802,세계,"트루스소셜에 글 올려…CNN, 익명 기소 공모자에 측근 줄리아니 포함 추정    도널드 트럼프 전 미국 대통령[AFP 연합뉴스 자료 사진. 재판매 및 DB 금지]  도널드 트럼프 전 미국 대통령이 선거 사기 유포 등 지난 2020년 대선 결과 뒤집기 시도 관련 혐의로 기소된 다음날인 2일(현지시간) 지지자들에게 감사 인사를 전했다.    트럼프 전 대통령은 이날 자신의 소셜미디어 트루스소셜에 글을 올려 ""이렇게 뜨거운 성원은 이전 어떤 경우에도 없었다""면서 ""모두에게 감사한다""고 밝혔다.    그는 ""매우 성공적인 전직 대통령이자 차기 대선 공화당 경선 및 본선 유력 후보자에 대한 전례 없는 기소는 전 세계에 지난 3년간 미국에서 벌어진 부패와 실패에 대해 일깨워줬다""고 주장했다.    그는 ""미국은 쇠퇴하고 있다""면서 ""그러나 우리는 미국을 다시 위대하게 만들 것이고, 이전보다 더 위대해질 것이다. 여러분 모두를 사랑한다""고 덧붙였다.    트럼프 전 대통령은 검찰의 기소 직전에도 트루스소셜에 글을 올려 자신이 곧 기소될 것이라고 알리기도 했다.    앞서 연방검찰은 전날 1·6 의회 난입 사태와 관련, 대선 결과를 뒤집기 위한 사기 모의 및 국가 기망, 선거사기 유포 등 4개 혐의로 트럼프 전 대통령을 기소했다.    트럼프 전 대통령은 이미 기밀문서 유출과 관련해 연방법 위반으로 두 차례 기소된 바 있으며 이번이 세 번째 기소다.     공화당의 유력 대선 주자인 트럼프 전 대통령은 줄이은 사법 리스크에도 오히려 론 디샌티스 플로리다 주지사를 비롯한 경쟁자들과 격차를 벌이며 지지율 측면에서는 오히려 승승장구하고 있다.    한편 특검은 트럼프 전 대통령과 대선 결과 전복을 모의한 익명의 6명도 함께 기소했다.    CNN은 이와 관련해 6명 가운데 5명은 정황 등으로 미뤄 추정이 가능하다면서 이들의 실명을 보도했다.    첫 번째 공모 후보는 트럼프 전 대통령의 옛 변호인이기도 한 루디 줄리아니 전 뉴욕 시장이다.    공소장에 따르면 '공모자1'은 의회난입 사태 당일 연방 상원 의원에게 음성 메시지를 남겼는데, 이는 줄리아니 전 시장이 공화당 토미 터버빌 후보에게 메시지를 남긴 정황과 일치한다고 CNN은 분석했다.    트럼프 전 대통령의 최측근인 줄리아니 전 시장은 성추문을 비롯해 이미 각종 송사에 휘말린 상태다.    법무부 고위 당국자를 지낸 제프리 클라크 역시 공모자에 포함됐을 것으로 CNN은 추정했다. 그는 전날 대배심에 유일하게 모습을 드러낸 인물이기도 하다.    이밖에 트럼프 전 대통령의 변호인으로 마이크 펜스 전 부통령을 끌어들이려고 시도한 존 이스트만, 또 다른 트럼프 변호인 출신의 시드니 파월, 케네스 체세브로 등이 공모자로 추정된다고 CNN은 지목했다.",0
"뉴욕증시, 美 신용등급 강등에 하락 출발",20230802,경제,"윤영숙 연합 뉴욕증시는 미국의 신용등급 강등 소식에 하락세로 출발했다.    2일(미 동부시간) 뉴욕증권거래소(NYSE)에서 오전 10시 26분 현재 다우존스30산업평균지수는 전장보다 210.71포인트(0.59%) 하락한 35,419.97을 기록 중이다.    스탠더드앤드푸어스(S&P)500지수는 전장보다 41.28포인트(0.90%) 하락한 4,535.45를, 나스닥지수는 전장보다 218.80포인트(1.53%) 떨어진 14,065.11을 나타냈다.    전날 국제 신용평가사 피치가 미국의 국가신용등급을 최고 등급에서 내렸다는 소식이 투자 심리를 악화시켰다.    미국 주요 신평사가 미국 신용등급을 강등한 것은 2011년 이후 처음으로 과거 S&P가 미국의 신용등급을 강등했을 당시에는 미국 증시가 폭락한 바 있다.    피치는 전날 미국의 국가 신용등급을 'AAA'에서 'AA+'로 내렸다. 지난 5월 미국의 등급 전망을 '부정적 관찰 대상'으로 지정한 후 3개월 만에 나온 결정이다.    피치는 보고서에서 ""향후 3년간 예상되는 미국의 재정 악화와 국가채무 부담 증가, 거버넌스의 악화 등을 반영했다""라며 특히 미국 정치권이 부채한도 상향 문제를 놓고 대치하고 이를 마지막 순간에야 해결하는 일이 반복되고 있어 유사한 등급의 다른 나라에 비해 지배구조가 악화했다고 평가했다.    등급 강등 조치에도 미국 국채 시장은 예상보다 잠잠한 모습이다.    10년물 국채금리는 전날보다 7bp가량 오른 4.09% 근방에서 거래되고 있고, 2년물 국채금리는 전장과 거의 같은 4.92% 근방에서 거래됐다. 금리는 가격과 반대로 움직인다. 국채 가격이 하락세를 보이기는 했으나 낙폭이 크지 않은 모습이다.    증시에 미치는 영향도 과거 S&P가 미국의 신용등급을 강등했던 때와는 다른 모습이다. 당시 미국 증시는 15% 이상 폭락했다.    전문가들도 시장에 미치는 영향은 제한적일 것으로 예상했다.    미국이 신용등급이 떨어졌다고 해서 미국 국채에 대한 투자 가치가 하락했다고 투자자들이 보지는 않을 것이라는 이유에서다.    투자자들은 이날 발표된 민간 고용 지표에도 주목했다.    ADP 전미고용보고서에 따르면 7월 민간 부문 고용은 전월보다 32만4천명 증가한 것으로 집계됐다. 전달의 45만5천명보다는 줄었으나 월스트리트저널(WSJ)이 집계한 전문가 예상치인 17만5천명을 큰 폭으로 웃돌았다.    7월 임금 상승률은 전년 대비 6.2%를 기록해 전월의 6.4%보다 둔화했다.    투자자들은 다음날 나올 노동부의 고용보고서를 주시하고 있다. 고용이 여전히 견조한 모습을 보일 경우 연방준비제도(연준·Fed)의 추가 금리 인상 가능성은 커질 것으로 보인다.    기업들의 실적 발표가 중반을 넘어선 가운데, 지금까지 실적을 발표한 기업의 82%가 예상치를 웃도는 순이익을 내놨다.    이 같은 소식은 경기 연착륙에 대한 기대를 높여 주가를 떠받치고 있다.    반도체 기업 AMD의 주가는 실적이 예상치를 소폭 웃돌았다는 소식에도 매출이 크게 하락하는 등 PC 시장의 부진이 지속되고 있다는 소식에 4% 이상 하락했다.    CVS헬스는 예상치를 웃돈 실적 발표에 주가는 3% 이상 오르고 있다. 솔라에지 테크놀로지의 주가는 매출이 예상치를 밑돌았다는 소식에 16% 이상 하락했다.    뉴욕증시 전문가들은 미국의 신용등급 강등이 시장에 미치는 영향은 제한적일 것이라고 말했다. 또한 최근의 골디락스 시나리오를 망칠 악재가 없다면 주가는 계속 오를 것으로 예상했다.    에번스 메이 웰스의 브룩 메이 매니징 파트너는 CNBC에 ""(등급 강등은) 실망스럽지만, 단기적으로 경제에 의미 있는 영향을 미칠 것이라고 생각하지 않는다""라며 ""이는 다만 워싱턴 정가에 대한 경고이다""라고 평가했다.    바클레이즈의 에마뉘엘 카우 전략가는 ""연착륙이 빠르게 시장의 컨센서스가 되고 있으며, 주가는 강한 랠리 이후 숨 고르기에 나설 수 있다""라며 ""그러나 골디락스 이야기를 바꿀 부정적인 촉매제가 없다면 우리는 더 오를 것으로 예상한다""고 말했다.    유럽증시는 일제히 하락 중이다.    독일 DAX지수는 1.35% 하락 중이며, 영국 FTSE지수는 1.35% 떨어지고 있다. 프랑스 CAC 지수는 1.17% 밀리고 있고, 범유럽지수인 STOXX600 지수는 1.35% 하락하고 있다.    국제유가도 하락 중이다.    9월물 서부텍사스산원유(WTI) 가격은 전장보다 0.84% 하락한 배럴당 80.66달러에, 10월물 브렌트유 가격은 전장보다 0.73% 떨어진 배럴당 84.29달러를 기록했다.    NYSE 입회장에서 일하는 트레이더들의 모습[연합뉴스 자료사진]",1
"경찰, 탈북 청소년 강제추행 의혹 목사 출국금지",20230802,사회,서울경찰청[촬영 정유진]      20여 년간 북한주민 탈북을 지원해 이름을 알린 목사 천모(67)씨가 탈북 청소년들을 성추행했다는 의혹이 제기돼 경찰이 수사 중이다.    서울경찰청 여성청소년범죄수사대는 천씨를 아동청소년성보호법 위반 등 혐의로 입건하고 출국금지 조치했다고 2일 밝혔다.    경찰에 따르면 천씨는 2018년부터 자신이 교장으로 있는 탈북 청소년 대상 기숙형 대안학교 학생들을 성추행한 혐의를 받는다.    경찰은 지난달 20일 피해 학생 3명의 고소장을 접수하고 서울 관악구에 있는 학교를 압수수색해 기숙사 폐쇄회로(CC)TV를 분석 중이다.    경찰은 고소한 학생들을 포함해 현재까지 모두 8명이 성범죄 피해를 입은 것으로 보고 조만간 천씨를 불러 조사할 방침이다.    천씨는 1999년부터 1천명 넘는 북한주민의 탈북을 도와 '아시아의 쉰들러'로 외신에 소개되기도 했다.,8
'대선뒤집기 시도' 트럼프기소 혐의는 KKK처벌·엔론사태서 유래,20230802,세계,"美언론 ""투표권 행사 방해 혐의 남북전쟁 직후 법에 근거""    트럼프 기소 관련 발표하는 美 특별검사(워싱턴 DC AFP=연합뉴스) 도널드 트럼프 전 미국 대통령의 기밀문서 유출 및 불법보관 혐의를 조사한 잭 스미스 특별검사가 1일(현지시간) 워싱턴 DC 법무부 청사에서 언론에 브리핑하고 있다. 이날 트럼프 전 대통령은 2020년 대선 결과 조작 시도, 선거 사기 모의 등 4개 혐의로 추가 기소됐다. 2023.08.02 besthope@yna.co.kr  도널드 트럼프 전 대통령이 지난 2020년 대선 뒤집기 시도로 기소된 가운데 트럼프 전 대통령에 적용된 투표권 행사 방해 혐의는 남북전쟁 직후인 재건시대 만들어진 법에 토대를 둔 것이라고 워싱턴포스트(WP) 등 미국 언론들이 2일(현지시간) 보도했다.    미국 형법인 연방 법전 18편 241장은 헌법이나 연방법상 권리를 행사하는 사람을 상해, 억압, 위협, 협박하기 위해 공모하는 행위를 범죄로 규정하고 있는데, 유권자가 투표를 행사하고 자신의 투표가 집계되도록 하는 권리를 방해한 트럼프 전 대통령의 혐의는 여기에 해당한다.    형법상 이 조항은 애초 흑인의 시민권을 보호하기 위해 남북전쟁 직후인 1870년 시행된 것이며 이후 이른바 쿠클럭스클랜(KKK·미국 백인 우월주의 단체) 등을 기소하는 데 사용됐다고 WP는 전했다.    실제 트럼프 전 대통령은 2020년 대선 결과를 뒤집기 위해 애틀랜타, 디트로이트 등 당시 조 바이든 민주당 후보에게 투표한 흑인 유권자가 많은 지역을 목표로 삼았다고 로이터통신은 보도했다.    이와 관련, 비영리단체인 '민주주의를 보호하라' 소속 크리스티 파커 전 연방 검사는 로이터통신에 ""재건 시대 법이 이 사건에 적용될 수 있다는 것은 우리가 남북 전쟁 때 싸웠던 것과 같은 전투를 벌이고 있다는 것을 보여준다""고 말했다.    트럼프 전 대통령에게 적용된 혐의 중 정부의 공식 절차 진행 방해죄는 2001년 엔론 사태를 여파로 지난 2002년 만들어진 법이라고 블룸버그 통신은 보도했다.    당시 외부 감사인이 미국 정부의 조사에 대응해 문서 등을 파기했던 것에 대응해서 제정됐다. 이전 법안에서는 정부 업무를 방해하도록 사주한 사람을 처벌하도록 했으나 실제 이를 수행한 당사자는 기소 대상에서 빠져있었다고 블룸버그통신은 전했다.    검찰은 그동안 2021년 1월 6일 조 바이든 대통령 당선 인증을 막기 위해 미국 의사당에 난입하는 폭동 사태를 일으킨 트럼프 전 대통령의 지지자들을 기소할 때 이 혐의도 적용했다.    랜덜 엘리아슨 전 연방검사는 ""해당 법은 엄격하게 적용되며 이것이 그동안 내려진 법원 판결의 요지""라고 말했다.",0
(LEAD) World Scout Jamboree kicks off amid heat wave,20230802,세계,"(LEAD) World Scout Jamboree-opening ceremony(LEAD) World Scout Jamboree kicks off amid heat wave (ATTN: UPDATES with more details of opening ceremony; CHANGES headline, photos)   BUAN, South Korea, Aug. 2 (Yonhap) -- The 25th World Scout Jamboree officially took off Wednesday, with about 43,000 young Scouts from 158 countries gathered at a massive campsite in Saemangeum Reclaimed Area on the southwestern coast.   The opening ceremony for the world jamboree, dubbed the ""cultural Olympics for youth,"" began with representative Scouts taking an oath and hoisting the Jamboree flag, and featured performances by a Scout orchestra and British survival expert Bear Grylls.   President Yoon Suk Yeol and Andy Chapman, the chairman of the World Scout Committee, gave welcome speeches to the Scouts gathered in the event.    President Yoon Suk Yeol (L, front row) and first lady Kim Keon Hee (R, front row) applaud during the opening ceremony of the 25th World Scout Jamboree in the Saemangeum Reclaimed Area, about 180 km southwest of Seoul, on Aug. 2, 2023. (Pool photo) (Yonhap)""The spirit of independence, responsibility and service to neighbors, and a dedication to the nation cultivated through Scouting activities will nurture you into outstanding leaders,"" Yoon said.   When standing in solidarity with each other, Scouts will be able to help people and countries in need, and help respond to the crises and challenges facing humanity, he added.     The World Scout Jamboree is held every four years, and this is the second world jamboree hosted by South Korea after the first one in Goseong, Gangwon Province, in 1991.    The event is intended to provide opportunities for young Scouts to learn about different cultures and build friendships through outdoor camping and cultural activities.    Participants in the 25th World Scout Jamboree gather at a camping site in the Saemangeum Reclaimed Area, about 180 kilometers southwest of Seoul, on Aug. 2, 2023, in this photo provided by the World Organization of the Scout Movement. (PHOTO NOT FOR SALE) (Yonhap)The authorities and the organizing committee made all-out efforts to prevent accidents.   Nearly 7,000 Scout volunteers, in coordination with the police and fire authorities, arranged an emergency exit over five meters wide on the sidelines of the ceremony venue, in addition to the existing route, in case of a heat wave or terror, according to officials at the organizing committee.   This year's unusually hot summer weather is expected to pose an unpredictable factor for the rare international event, as a heat wave advisory has been issued for 14 North Jeolla Province areas, including Saemangeum, and the sweltering heat is expected to continue through Aug. 11, when the closing ceremony will be held.    A photo of the campground of the 25th World Scout Jamboree provided by the Buan County Office (PHOTO NOT FOR SALE) (Yonhap)The maximum sensible temperature is forecast to soar to 35 C on Wednesday.   Saemangeum already experienced a tropical night Tuesday, with the nighttime low staying above 25 C. As many as 19 people suffered from heat-related illnesses at the jamboree campground on the first day.   The organizing committee said it will take all possible measures to protect young Scouts from the heat wave and tropical nights. It has installed 1,722 shade shelters and 57 vine tunnels with cooling features, and designated half a dozen places, including an indoor gym and a sports park, as emergency shelters.   If the severe heat wave continues, 300 shuttle buses that can accommodate 12,000 people and the Global Youth Leader Center, where the organizing committee is located and about 3,000 people can be housed, will be used as temporary shelters, it noted.    Young Scouts gather at a waterwork facility to cool off near a World Scout Jamboree campground in Saemangeum, southwestern South Korea, on Aug. 1, 2023. (Yonhap)",2
韓国で「世界スカウトジャンボリー」開営式　尹大統領出席,20230802,세계,【ソウル聯合ニュース】韓国の尹錫悦（ユン・ソクヨル）大統領は２日夜、南西部の全羅北道・セマングムで開催されたボーイスカウト・ガールスカウトの世界大会「世界スカウトジャンボリー」の開営式に出席した。    世界スカウトジャンボリーの開営式に出席した尹大統領夫妻（中央、大統領室通信写真記者団）＝２日、扶安（聯合ニュース）　尹大統領はあいさつで「幼いころのスカウトの経験は人生の大きな力になった」と述べ、隊員たちを激励した。　尹大統領は小学生時代、スカウト隊員として４年間活動した経験がある。今年３月には韓国スカウト連盟の名誉総裁に就任した。　開営式にはパプアニューギニアのダダイ総督夫妻や英国の冒険家ベア・グリルスらが出席した。　今回のジャンボリーには世界１５８カ国・地域から計約４万３０００人が参加した。１２日まで開かれる。韓国での開催は１９９１年以来、２回目となる。,0
