제목,날짜,분류,본문,반응수
"청주시, 침수 피해 350가구 도배·장판 교체 추진",20230802,사회,"청주시는 지난달 집중호우 때 주택 침수 피해를 본 350여 가구의 도배·장판 교체공사를 시작했다고 2일 밝혔다.    침수 주택 도배 교체 작업[청주시 제공. 재판매 및 DB 금지]  시는 지난달 26일부터 지난 1일까지 피해 주택을 찾아 현황 조사를 했다.     시는 수해 성금을 재원으로 병을 앓거나 임시주거시설에서 생활하는 주민의 집 도배·장판을 우선 바꾸고, 나머지 주택은 건조가 완료되는 대로 전문업체를 통해 신속하게 작업을 진행할 예정이다.    저소득 가구의 경우 한국에너지재단과 연계해 단열, 창호 등 에너지효율 개선사업도 병행한다.    시 관계자는 ""이번 사업에 전문 자원과 인력을 최대한 투입해 피해 주민들이 하루빨리 일상을 회복할 수 있게 하겠다""고 말했다.",0
와다 하루키 도쿄대 명예교수 초청 강연,20230802,사회,와다 하루키 일본 도쿄대학 명예교수가 지난 1일 서울 서대문구 동북아역사재단 대회의실에서 열린 초청 강연회에서 발언하고 있다. 2023.8.2 [동북아역사재단 제공. 재판매 및 DB 금지],0
발언하는 와다 하루키 도쿄대 명예교수,20230802,사회,와다 하루키 일본 도쿄대학 명예교수가 지난 1일 서울 서대문구 동북아역사재단 대회의실에서 열린 초청 강연회에서 발언하고 있다. 2023.8.2 [동북아역사재단 제공. 재판매 및 DB 금지],0
발언하는 와다 하루키 도쿄대 명예교수,20230802,사회,와다 하루키 일본 도쿄대학 명예교수가 지난 1일 서울 서대문구 동북아역사재단 대회의실에서 열린 초청 강연회에서 발언하고 있다. 2023.8.2 [동북아역사재단 제공. 재판매 및 DB 금지],0
새만금 세계잼버리 등록하는 스카우트 대원,20230802,정치,새만금 세계잼버리 개막식이 열린 지난 1일 스카우트 대원이 잼버리 참가 등록을 하고 있다. 2023.8.2 [세계스카우트연맹 제공. 재판매 및 DB 금지. ⓒWSBureau Inc.-Enrique Leon],0
퀘벡 산불 진화 도운 한국 해외긴급구호대에 감사 표하는 트뤼도 캐나다 총리,20230802,사회,쥐스탱 트뤼도 캐나다 총리가 퀘벡주 산불 진화를 돕기 위해 파견된 한국 해외긴급구호대(KDRT)를 만나 감사를 표했다고 대통령실이 2일 밝혔다. 2023.8.2 [대통령실 제공. 재판매 및 DB 금지],1
"인권위, '서해 피격' 유족 명예훼손 진정 기각",20230802,사회,"""야당의원 발언, 유족·고인 인권 침해로 보기 어려워""    발언하는 북 피살 공무원 유족[연합뉴스 자료사진]     장보인  더불어민주당 주철현·기동민 의원이 '서해 공무원 피격'의 당사자 고(故) 이대준 씨에 대해 모욕적인 발언을 해 고인과 유족의 명예가 훼손됐다며 제기된 진정을 국가인권위원회(인권위)가 기각했다.    1일 이씨의 유족 측에 따르면 인권위는 5월23일 이 진정을 기각하기로 결정하고 이 결과를 통지했다.    이씨의 유족은 지난해 국정감사에서 주 의원이 이씨에 대해 '뻘짓거리 하다가 죽었다'는 취지로 발언, 고인과 유족의 인권이 침해됐다며 인권위에 진정을 넣었다.    기 의원에 대해서도 북한 김정은 국무위원장을 '최고 존엄'으로 지칭하고 '이씨가 사망한 뒤 최고 존엄이 사과했는데 왜 문제 삼느냐'는 뜻으로 발언했다면서 동시에 진정을 냈다.    인권위는 주 의원이 해양수산부장(葬) 대상자 선정위원회의 졸속 처리를 지적한 것일 뿐 '뻘짓거리'라는 단어의 대상이 고인이 아니라고 진술한 점과 당시 국정감사에서도 ""제가 고인이 뻘짓거리 한다는 것이 아니다""라고 주장한 점 등을 기각의 근거로 삼았다.    기 의원과 관련해선 ""'최고 존엄'이라는 표현은 조롱과 야유의 표현이었다고 피진정인(기 의원)이 진술했다. 지난해 국정감사 법제사법위원회 회의록 전문을 찾아보면 고인의 죽음 후 최고 존엄이 사과를 했는데 왜 문제 삼느냐는 의미로 해석될 만한 발언은 찾을 수 없다""며 기각하기로 결정했다.    주 의원은 지난해 10월6일 국회 농림축산식품해양수산위원회 국감에서 이씨의 장례식이 해양수산부장으로 치러진 것을 두고 여야 공방이 벌어지자 ""공무원이 직장에서 근무하다가 근무시간 중 도망쳐 나와 다른 데서 뻘짓거리 하다가 사고당해 죽은 것도 똑같이 공상 처리하자는 것과 마찬가지""라고 말했다.    기 의원은 같은 달 17일 국회 법제사법위원회 국감에서 ""사람 한 분이 북한군에 의해 그렇게 무참하게 그런 피해를 본 것인데, 그래서 저기에 뭐 최고 존엄인가 하는 사람이 공식적인 사과까지 한 사안들""이라고 발언했다.",1
'인천 인현동 화재 참사' 24년만에 상설 추모공간 조성,20230802,사회,"인천학생교육문화회관에 설치된 희생자 명판[연합뉴스 자료사진]  학생 등 57명이 숨진 '인천 인현동 화재 참사'를 기리는 추모 공간이 24년 만에 조성된다.    인천시교육청은 올해 예산 1억원을 들여 중구 인천학생교육문화회관에 인현동 화재 참사 추모 공간을 마련한다고 2일 밝혔다.    시교육청은 참사 위령비와 명판만 있던 야외 주차장에 추모 공간임을 알리는 간판석을 따로 세우고 주변 조경도 새로 꾸민다.    또 건물 1층의 수업실을 별도로 분리해 유족들이 자유롭게 쓸 수 있는 추모 공간으로 만들 계획이다.    인천시교육청 관계자는 ""추모 공간의 구체적인 운영 계획을 협의하는 단계""라며 ""건물 내부에 마련될 추모 공간을 어떻게 구성할지와 외부인에게도 공개할지 등 여러 안을 유족들과 논의하고 있다""고 말했다.    인천 인현동 화재 참사는 1999년 10월 30일 불법 영업 중이던 중구 인현동의 한 상가 건물에서 발생했다. 당시 화재로 학생 52명을 포함해 57명이 숨지고 80여명이 다쳤다.         유족들은 인천학생교육문화회관이 화재 참사를 계기로 개관한 만큼 이곳에 상설 추모 공간을 마련해달라고 수년간 요구해왔다.",0
퀘벡 산불 진화 도운 한국 해외긴급구호대에 감사 표하는 트뤼도 캐나다 총리,20230802,사회,쥐스탱 트뤼도 캐나다 총리가 퀘벡주 산불 진화를 돕기 위해 파견된 한국 해외긴급구호대(KDRT)를 만나 감사를 표했다고 대통령실이 2일 밝혔다. 2023.8.2 [대통령실 제공. 재판매 및 DB 금지],0
"윤재옥 ""민주, 노인비하 퍼레이드…노인패륜당 되기로 결심했나""",20230802,정치,"""청년 가르치려 들며 꼰대짓…김은경 혁신위, 사과하고 간판 내려야"" 김연정  국민의힘 윤재옥 원내대표는 2일 더불어민주당 김은경 혁신위원장과 양이원영 의원의 잇따른 '노인 비하 발언 논란'과 관련, ""과거에는 사과라도 했지만 지금은 사과도 없이 적반하장인 것을 보면 실수가 아니며, 노인은 국민의힘 지지자들이니까 폄하해도 된다는 것이 민주당 본심이 아닌가 생각이 든다""고 말했다.    무량판 공법 부실시공 관련 기자간담회 참석하는 윤재옥 원내대표  국민의힘 윤재옥 원내대표가 2일 오전 서울 여의도 국회에서 열린 무량판 공법 부실시공 관련 기자간담회에 참석하고 있다. 2023.8.2 toadboy@yna.co.kr윤 원내대표는 이날 오전 국회에서 연 기자간담회에서 ""민주당이 노인패륜당이 되기로 결심했는지 노인 비하 막말 퍼레이드가 연일 이어지고 있다""며 이같이 비판했다.    이어 ""민주당의 집단이성이 붕괴되고 있다. 민주당의 노인 비하 발언이 어제오늘 일은 아니지만 이렇게 후안무치한 적은 없었다""고 했다.    윤 원내대표는 ""김 위원장과 양이 의원은 제1야당의 책임 있는 자리에 있는 분들로 국민을 대표할 의무가 있지만, 그들 눈에는 노인은 포함돼 있지 않은 것 같다""면서 ""민주당이 노인만 비하하는 게 아니라, 사실은 청년들을 더욱 비하하고 있다. 청년들을 노인 투표 박탈권이나 원하는 사람쯤으로 만들고 있는 것""이라고 지적했다.    특히 양이 의원이 '그냥 있으면 2050년 대한민국이 디스토피아가 될 것이니 투표에 참여해서 민주당을 찍어야 미래가 밝을 것'이라고 언급한 데 대해 ""민주당이 청년들에게 요즘 말로 '꼰대 짓'을 하고 있다""고 비판했다.    그는 ""지금 청년들이야말로 우리나라 미래에 가장 관심이 많고 미래를 위한 사회 개혁의 방법을 가장 잘 안다. 당장 노동·연금·교육개혁이 이뤄지지 않으면 대한민국이 머지않아 디스토피아가 될 것임을 잘 알고 있고, 기후 우울증에 빠질 정도로 기후 위기에도 관심이 많다""면서 ""민주당이 이런 청년 의견에 귀를 기울이기는커녕 감히 가르치려 들며 민주당에 표를 찍으라 하는 건가""라고 반문했다.     그러면서 ""오지도 않은 2050년 디스토피아를 윤석열 정부 탓으로 돌리기 전에 부동산, 노동, 연금, 교육, 국가부채 등 모든 분야에서 청년들에게 지옥을 만든 지난 정권 5년의 디스토피아부터 반성하라""고 쏘아붙였다.    그는 또 '김은경 혁신위'를 향해 ""혁신위가 반혁신 구태에 앞장섰다. 혁신위는 실패했다""며 ""이쯤되면 민주당 혁신위는 국민 앞에 깨끗이 사과하고 간판을 내리는 게 마땅해 보인다""고 말했다.",7
